Label,Description,FieldType,DataType,TablesList,JoinsList
Ship City,The city of a standard address.,DIMENSION,CITY,Orders,"Orders, Feedback"
Ship Country,ISO 3166 standard two-letter country code.,DIMENSION,COUNTRY,Orders,"Orders, Feedback"
Ship Postal Code,The postal (ZIP) code of a standard address.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Ship Promotion Discount,Promotion discount applied to shipping.,METRIC,NUMBER,Orders,"Orders, Feedback"
Ship Service Level,"An enumerated value that determines the type of fulfilment service that the buyer expects the merchant to use (e.g., Standard vs. Expedited)",DIMENSION,TEXT,Orders,"Orders, Feedback"
Ship State,The state or region of a standard address.,DIMENSION,REGION,Orders,"Orders, Feedback"
Shipping Price,"The amount the buyer paid for shipping. Amount is aggregate of the quantity, not unit price.",METRIC,CURRENCY,Orders,"Orders, Feedback"
Shipping Tax,"The amount the buyer paid for shipping tax. Amount is aggregate of the quantity, not unit price.",METRIC,NUMBER,Orders,"Orders, Feedback"
Shortest Side,Measurement of the shortest side of your product including its packaging,METRIC,NUMBER,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Inventory SKU,Stock Keeping Units (SKUs) are unique blocks of letters or numbers that identify your products.,DIMENSION,TEXT,"Estimated Fee Fba, Excess Inventory Fba, Fees, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns Fba, Sales And Traffic By Asin","Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Orders, Fees, Feedback, Inventory Events Fba, Reimb, Returns Fba, Sales And Traffic By Asin"
Snapshot Date,The date the report was generated.,DIMENSION,YEAR_MONTH_DAY,Excess Inventory Fba,Excess Inventory Fba
Standard Price Point,The default price of the item when it is not on sale.,METRIC,NUMBER,Inventory,Inventory
Return Status,Identifies the status of a return.,DIMENSION,TEXT,Returns Fba,"Orders, Returns Fba, Feedback"
Storage Type,"Storage type category of the product for which storage limits are set. There are six storage types: standard-size, oversize, apparel, footwear, flammable or aerosol.",DIMENSION,TEXT,Excess Inventory Fba,Excess Inventory Fba
Tax Collection Model,"The tax collection model (Marketplace Facilitator, Third-Party Service Provider, Amazon Tax Calculation Services, or Self-Collecting Seller).",DIMENSION,TEXT,Orders,"Orders, Feedback"
Tax Collection Responsible Party,The party responsible for tax collection.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Title,Title or name of the product.,DIMENSION,TEXT,Sales And Traffic By Asin,Sales And Traffic By Asin
Total Quantity Sellable,The number of units for a SKU in sellable condition in the Amazon fulfillment network.,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Page Views - Browser by ASIN,Hits in your Amazon.com browser presence for the selected time period. This field can be dimensioned by ASIN.,METRIC,NUMBER,Sales And Traffic By Asin,Sales And Traffic By Asin
Page Views Percentage - Browser by ASIN,Percentage of browser page views that a particular SKU/ASIN receives relative to the total number of page views for all products,METRIC,PERCENT,Sales And Traffic By Asin,Sales And Traffic By Asin
Session Percentage - Browser by ASIN,Percentage of browser sessions that contain at least one page view for a particular SKU/ASIN relative to the total number of sessions for all products.,METRIC,PERCENT,Sales And Traffic By Asin,Sales And Traffic By Asin
Sessions - Browser by ASIN,Sessions are visits to your Amazon.com browser pages by an Amazon Customer. All activity within a 24-hour period is considered a session. This field can be dimensioned by ASIN.,METRIC,NUMBER,Sales And Traffic By Asin,Sales And Traffic By Asin
Featured Offer (Buy Box) Percentage by ASIN,This is the percentage of page views where the Featured Offer (the add to shopping cart link) appeared on the page for customers to add your product to their cart. This field can be dimensioned by ASIN.,METRIC,PERCENT,Sales And Traffic By Asin,Sales And Traffic By Asin
Page Views - Mobile App by ASIN,Hits in your Amazon.com mobile app presence for the selected time period. This field can be dimensioned by ASIN.,METRIC,NUMBER,Sales And Traffic By Asin,Sales And Traffic By Asin
Page Views Percentage - Mobile App by ASIN,Percentage of mobile app page views that a particular SKU/ASIN receives relative to the total number of page views for all products.,METRIC,PERCENT,Sales And Traffic By Asin,Sales And Traffic By Asin
Session Percentage - Mobile App by ASIN,Percentage of mobile app sessions that contain at least one page view for a particular SKU/ASIN relative to the total number of sessions for all products.,METRIC,PERCENT,Sales And Traffic By Asin,Sales And Traffic By Asin
Sessions - Mobile App by ASIN,Sessions are visits to your Amazon.com mobile app pages by a user. All activity within a 24-hour period is considered a session. This field can be dimensioned by ASIN.,METRIC,NUMBER,Sales And Traffic By Asin,Sales And Traffic By Asin
Page Views - Total by ASIN,Hits in your Amazon.com presence for the selected time period. This field can be dimensioned by ASIN.,METRIC,NUMBER,Sales And Traffic By Asin,Sales And Traffic By Asin
Page Views Percentage - Total by ASIN,Percentage of page views that a particular SKU/ASIN receives relative to the total number of page views for all products.,METRIC,PERCENT,Sales And Traffic By Asin,Sales And Traffic By Asin
Session Percentage - Total by ASIN,Percentage of sessions that contain at least one page view for a particular SKU/ASIN relative to the total number of sessions for all products.,METRIC,PERCENT,Sales And Traffic By Asin,Sales And Traffic By Asin
Sessions - Total by ASIN,Sessions are visits to your Amazon.com pages by a user. All activity within a 24-hour period is considered a session. This field can be dimensioned by ASIN.,METRIC,NUMBER,Sales And Traffic By Asin,Sales And Traffic By Asin
Average Offer Count - Deprecated,DEPRECATED,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Average Parent Items,The average number of parent items listed for sale in that particular time period.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Page Views - Browser,Hits in your Amazon.com browser presence for the selected time period.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Sessions - Browser,Sessions are visits to your Amazon.com browser pages by an Amazon Business Customer. All activity within a 24-hour period is considered a session.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Featured Offer (Buy Box) Percentage,This is the percentage of page views where the Featured Offer (the add to shopping cart link) appeared on the page for customers to add your product to their cart.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Feedback Received,Total number of customer feedback received.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Page Views - Mobile App,Hits in your Amazon.com mobile app presence for the selected time period.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Sessions - Mobile App,Sessions are visits to your Amazon.com mobile app pages by a user. All activity within a 24-hour period is considered a session.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Negative Feedback Received,Number of negative feedback received.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Page Views - Total,Hits in your Amazon.com presence for the selected time period.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Received Negative Feedback Rate,Received negative feedback rate.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Sessions - Total,Sessions are visits to your Amazon.com pages by a user. All activity within a 24-hour period is considered a session.,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Traffic Sessions B2b,**B2B fields not yet ready Nov 2023**,METRIC,NUMBER,Sales And Traffic,Sales And Traffic
Fee Type,"Sub-categorization of fees (Commission, Tax, Principal, GiftWarap, etc.)",DIMENSION,TEXT,Fees,"Orders, Fees, Feedback"
Unit Of Dimension,The unit of dimension used in measurement,DIMENSION,TEXT,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Unit Of Weight,The unit of weight used in weight measurement,DIMENSION,TEXT,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Units Shipped Key,"When paired with Units Shipped Value, displays the count of units shipped in the last 7, 30, 60, or 90 days.",DIMENSION,TEXT,Excess Inventory Fba,Excess Inventory Fba
Units Shipped Value,"When paired with Units Shipped Key, displays the count of units shipped in the last 7, 30, 60, or 90 days.",METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Units Shipped Last 30 Days,Units shipped in the last 30 days,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Units Shipped Last 60 Days,"Units shipped in the last 60 days
",METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Units Shipped Last 7 Days,Units shipped in the last 7 days,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Units Shipped Last 90 Days,Units shipped in the last 90 days,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
VAT Exclusive Giftwrap Price,"Price set to gift wrap an item, minus VAT.",METRIC,CURRENCY,Orders,"Orders, Feedback"
Vat Exclusive Item Price,"Price set for an item, minus VAT",METRIC,CURRENCY,Orders,"Orders, Feedback"
VAT Exclusive Shipping Price,"Price set to ship an item, minus VAT.",METRIC,CURRENCY,Orders,"Orders, Feedback"
Will Ship Internationally,Indicates if a SKU can be shipped internationally.,DIMENSION,TEXT,Inventory,Inventory
Inventory Your Price,Your current selling price.,METRIC,CURRENCY,"Estimated Fee Fba, Excess Inventory Fba, Inventory Fba","Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
PMA Subscription ID,Used by Power My Analytics for billing and user-identification with our support staff.,,,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
PMA Trial Status,"Used by Power My Analytics to show trial as Active, Expired or number of days remaining.",,,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
PMA Payment URL,"Used by Power My Analytics to provide URL to activate your account, or to see the billing information.",,,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
PMA Minimum Cached Data Date,Used by Power My Analytics to indicate minimum cached data date.,DIMENSION,YEAR_MONTH_DAY,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
PMA Maximum Cached Data Date,Used by Power My Analytics to indicate maximum cached data date.,DIMENSION,YEAR_MONTH_DAY,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
PMA Is Interpolated?,Used by Power My Analytics to indicate whether lifetime data might be interpolated,,,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
Data Source,Data source title,DIMENSION,TEXT,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
Data Source Logo,Data source logo,DIMENSION,IMAGE,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
Function Execution ID,Firebase functions execution id,DIMENSION,TEXT,"Orders, Fees, Returns, Reimb, Estimated Fee Fba, Returns Fba, Feedback, Inventory Events Fba, Inventory, Estimated Fee, Inventory Fba, Excess Inventory Fba, Sales And Traffic, Sales And Traffic By Asin","Orders, Feedback, Fees, Returns, Reimb, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Returns Fba, Inventory Events Fba, Inventory, Estimated Fee, Sales And Traffic, Sales And Traffic By Asin"
Year,The dimension that determines how date-based data in a chart is handled.,DIMENSION,YEAR,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Quarter,The dimension that determines how date-based data in a chart is handled.,DIMENSION,QUARTER,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Year Quarter,The dimension that determines how date-based data in a chart is handled.,DIMENSION,YEAR_QUARTER,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Year Month,The dimension that determines how date-based data in a chart is handled.,DIMENSION,YEAR_MONTH,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Week,The dimension that determines how date-based data in a chart is handled.,DIMENSION,WEEK,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Year Week,The dimension that determines how date-based data in a chart is handled.,DIMENSION,YEAR_WEEK,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Month,The dimension that determines how date-based data in a chart is handled.,DIMENSION,MONTH,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Month Day,The dimension that determines how date-based data in a chart is handled.,DIMENSION,MONTH_DAY,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Day Of Week,The dimension that determines how date-based data in a chart is handled.,DIMENSION,DAY_OF_WEEK,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Day Of Month,The dimension that determines how date-based data in a chart is handled.,DIMENSION,DAY,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Date,The dimension that determines how date-based data in a chart is handled.,DIMENSION,YEAR_MONTH_DAY,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Hour,The dimension that determines how date-based data in a chart is handled.,DIMENSION,HOUR,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Return Reason,Readable Return Reason,DIMENSION,,Returns,"Orders, Returns, Feedback"