iSKU,Brand,PHX Class,Theoretical QTY,Location,Actual Count,Date Counted,UOM,Mfg After Date Counted (+),Received QTY After Actual Count (From Receiving Logs Only) (+),FO After Date Counted (-),FO After Date Counted (-) (FROM BUNDLES),IHF After Date Counted (-),Duplicate,ASIN,FBA VELOZ RANKING,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,,Theo Count Static,Actual Count,Date Counted,Warehouse Remarks,Variance,,,,NOT IN WIR-FG,
TA-Acne-Face-Spray-4oz,TreeActiv,B,108,03-Feb,108,10/04/24,Units,0,0,0,0,0,,B079ZCGJZF,0,0,0,0,,,108,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
TA-Balancing-Herbal-Toner-4oz,TreeActiv,B,96,04-Mar,96,10/04/24,Units,0,0,0,0,0,,B01BPBXJIM,96,0,0,0,,,96,10/04/24,,0.00%,,,,,TreeActiv Skincare Sprays
TreeActiv Skincare Cleansers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Acne-Exfoliating-Body-Wash-8oz,TreeActiv,B,70,01-Feb,70,10/04/24,Units,0,0,0,0,0,,B01BMEUM0U,70,0,0,0,,,70,10/04/24,,0.00%,,,,,TreeActiv Skincare Cleansers
TA-Anti-Aging-Body-Wash-8oz,TreeActiv,C,116,,116,10/04/24,Units,0,0,0,0,0,,B0B71CGM7H,116,0,0,0,,,116,10/04/24,,0.00%,,,,,TreeActiv Skincare Cleansers
TA-Acne-Body-Wash-8oz-NEW,TreeActiv,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0CSPC847D,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Skincare Cleansers
TA-Acne-Eliminating-Face-Cleanser-3.4oz,TreeActiv,C,882,02-Feb,882,10/04/24,Units,0,0,0,0,0,,B08MH9WPKV,682,0,0,0,,,882,10/04/24,,0.00%,,,,,TreeActiv Skincare Cleansers
TA-Acne-Eliminating-Face-Cleanser-8oz,TreeActiv,A,618,02-Feb,618,10/04/24,Units,0,0,0,0,0,,B01BHYAPJS,618,0,0,0,,,618,10/04/24,,0.00%,,,,,TreeActiv Skincare Cleansers
TA-Acne-Eliminating-Face-Cleanser-DS,TreeActiv,,0,,0,10/04/24,Units,0,0,0,0,0,,B0DFWMZJ4K,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Skincare Cleansers
TreeActiv Skincare Creams/Lotions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Crepey-Skin-Repair-Treatment-8oz,TreeActiv,A,54,02-Jan,59,10/04/24,Units,0,0,0,0,5,,B074F45K6P,54,0,0,0,,,59,10/04/24,,8.47%,,,,,TreeActiv Skincare Creams/Lotions
TA-Crepey-Skin-Treatment-2pack,TreeActiv,A,4546,,"4,547",10/04/24,Units,0,0,0,0,1,,B0CSNN469G,4546,100,100,0,,,"4,547",10/04/24,,0.02%,,,,,TreeActiv Skincare Creams/Lotions
TA-After-Shave-Treatment,TreeActiv,PLC-2024,7,,10,10/04/24,Units,0,0,0,0,3,,B0CSPJKV9M,7,0,0,0,,,10,10/04/24,,30.00%,,,,,TreeActiv Skincare Creams/Lotions
TA-Rough-Bumpy-Skin-Lotion,TreeActiv,PLC-2024,22,,23,10/04/24,Units,0,0,0,0,1,,B0CSSZFCB8,22,0,0,0,,,23,10/04/24,,4.35%,,,,,TreeActiv Skincare Creams/Lotions
TA-Dermatitis-Cream-8oz,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B08J3TKTX9,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Skincare Creams/Lotions
TA-Psoriasis-Cream-8oz,TreeActiv,B,0,,0,10/04/24,Units,0,0,0,0,0,,B08J3Y9SZ8,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Skincare Creams/Lotions
TA-Acne-Body-Lotion-Cucumber-8oz,TreeActiv,A,2,01-Feb,2,10/04/24,Units,0,0,0,0,0,,B01ETEJNPK,0,0,0,0,,,2,10/04/24,,0.00%,,,,,TreeActiv Skincare Creams/Lotions
TA-Acne-Eliminating-Face-Cream-2oz,TreeActiv,A,99,,102,10/04/24,Units,0,0,0,0,3,,B01BPDN5L6,0,0,0,0,,,102,10/04/24,,2.94%,,,,,TreeActiv Skincare Creams/Lotions
TA-Acne-Scar-Cream-2oz,TreeActiv,C,164,01-Mar,164,10/04/24,Units,0,0,0,0,0,,B07HHFNXVW,164,0,0,0,,,164,10/04/24,,0.00%,,,,,TreeActiv Skincare Creams/Lotions
TA-Acne-Scar-Cream-RE-Launch,TreeActiv,PLC-2024,42,,42,10/04/24,Units,0,0,0,0,0,,B0CS6SCC13,42,0,0,0,,,42,10/04/24,,0.00%,,,,,TreeActiv Skincare Creams/Lotions
TA-Retinol-Cream-2oz,TreeActiv,C,6,,10,10/04/24,Units,0,0,0,0,4,,B09BCSL46R,6,0,0,0,,,10,10/04/24,,40.00%,,,,,TreeActiv Skincare Creams/Lotions
TA-Crepey-Skin-Treatment-8oz-DS-New,TreeActiv,PLC-2024,2940,,"2,940",10/04/24,Units,0,0,0,0,0,,B0DBRL8TRW,2940,0,0,0,,,"2,940",10/04/24,,0.00%,,,,,TreeActiv Skincare Creams/Lotions
TreeActiv Skincare Scrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Four-In-One-Acne-Treatment-4oz,TreeActiv,B,280,02-Jan,280,10/04/24,Units,0,0,0,0,0,,B00U1J83SQ,0,0,0,0,,,280,10/04/24,,0.00%,,,,,TreeActiv Skincare Scrubs
TA-Four-In-One-Acne-Treatment-8oz,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B012BKQ5YG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Skincare Scrubs
TreeActiv Aromatherapy Sprays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Yoga-Mat-Spray-4oz,TreeActiv,B,74,,75,10/04/24,Units,0,0,0,0,1,,B08KFGYSD7,74,171,160,11,,,75,10/04/24,,1.33%,,,,,TreeActiv Aromatherapy Sprays
TA-Room-Spray-Citrus-4oz,TreeActiv,C,62,03-Mar,63,10/04/24,Units,0,0,0,0,1,,B08HM5NB9C,62,0,0,0,,,63,10/04/24,,1.59%,,,,,TreeActiv Aromatherapy Sprays
TA-Sleep-Spray-Calming-Lavender-4oz,TreeActiv,C,10,03-Feb,10,10/04/24,Units,0,0,0,0,0,,B08J2HQZ4K,10,0,0,0,,,10,10/04/24,,0.00%,,,,,TreeActiv Aromatherapy Sprays
TA-Sleep-Spray-Calming-Lavender-8oz,TreeActiv,C,201,,202,10/04/24,Units,0,0,0,0,1,,B08P225MRM,0,0,0,0,,,202,10/04/24,,0.50%,,,,,TreeActiv Aromatherapy Sprays
TA-Sleep-Spray-Calming-Lavender-16oz,TreeActiv,C,59,,59,10/04/24,Units,0,0,0,0,0,,B08P23HP1V,0,129,100,29,,,59,10/04/24,,0.00%,,,,,TreeActiv Aromatherapy Sprays
TA-Natural-Linen-Spray-Lavender-8oz,TreeActiv,B,3,,4,10/04/24,Units,0,0,0,0,1,,B08BWN33SX,203,0,0,0,,,4,10/04/24,,25.00%,,,,,TreeActiv Aromatherapy Sprays
TA-Shower-Spray-Eucalyptus-Xtra-Stre-4oz,TreeActiv,C,75,,75,10/04/24,Units,0,0,0,0,0,,B08S3LQHPH,75,0,0,0,,,75,10/04/24,,0.00%,,,,,TreeActiv Aromatherapy Sprays
TA-Shower-Spray-Eucalyptus-4oz,TreeActiv,C,60,02-Mar,60,10/04/24,Units,0,0,0,0,0,,B08KDS18R5,60,0,0,0,,,60,10/04/24,,0.00%,,,,,TreeActiv Aromatherapy Sprays
TA-Toilet-Spray-Summer-Breeze-2oz,TreeActiv,C,189,,189,10/04/24,Units,0,0,0,0,0,,B08QD34975,89,0,0,0,,,189,10/04/24,,0.00%,,,,,TreeActiv Aromatherapy Sprays
TA-Air-Freshener-Spray-Peppermint-4oz,TreeActiv,C,77,,77,10/04/24,Units,0,0,0,0,0,,B08J2YWQ9F,77,0,0,0,,,77,10/04/24,,0.00%,,,,,TreeActiv Aromatherapy Sprays
TreeActiv Hair/Skin Supplements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Hair-Growth-Spray-Grapefruit-8oz,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B018KBV96E,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Hair/Skin Supplements
TA-Hair-Growth-Spray-Bamboo-8oz,TreeActiv,B,14,03-Mar,15,10/04/24,Units,80,0,80,0,1,,B018KBBNMO,14,80,80,0,,,15,10/04/24,,6.67%,,,,,TreeActiv Hair/Skin Supplements
TA-Hair-Growth-Spray-Lavender-8oz,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B018KAH8M4,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Hair/Skin Supplements
TA-Hair-Savior-60,TreeActiv,C,463,,468,10/04/24,Units,0,0,0,0,5,,B0165YIFM4,463,0,0,0,,,468,10/04/24,,1.07%,,,,,TreeActiv Hair/Skin Supplements
TA-Skin-Vitamin,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0B94B1FCV,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Hair/Skin Supplements
TreeActiv Misc Skincare FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Deep-Wrinkle-Serum-1oz,TreeActiv,C,256,,256,10/04/24,Units,0,0,0,0,0,,B07GSGLKNH,256,0,0,0,,,256,10/04/24,,0.00%,,,,,TreeActiv Misc Skincare FG
TA-Oil-Free-Skin-Repair-Serum-2oz,TreeActiv,C,1930,,"1,930",10/04/24,Units,50,0,50,0,0,,B01ETIITYM,1930,50,50,0,,,"1,930",10/04/24,,0.00%,,,,,TreeActiv Misc Skincare FG
TreeActiv Bundles and Kits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNDLE-TA-2Step-Cystic-Face-Wash-3.4oz,TreeActiv,C,0,04-Feb,0,10/04/24,Units,0,0,0,0,0,,B08TJ2GH36,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BDL-TA-3StepAcneKit-FCreamCysticFW3.4oz,TreeActiv,C,0,04-Feb,0,10/04/24,Units,0,0,0,0,0,,B09B813K19,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BDL-TA-4StepAcneKit-CysticFSpryFCrmFW3.4,TreeActiv,C,0,04-Feb,0,10/04/24,Units,0,0,0,0,0,,B09B8442YJ,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BDL-TA-5StepAcneKit,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B09B8PHJ5V,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BUNDLE-TA-5-Step-Exfo-Cystic,TreeActiv,,0,,0,10/04/24,Units,0,0,0,0,0,,B08JMCBY1R,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BUNDLE-TA-2-Step-Exfo-Cystic,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B08JWVMD8F,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
TA-Acne-Face-Cleanser-Travel-3.4oz-2Pack,TreeActiv,C,61,04-Feb,61,10/04/24,Units,0,0,0,0,0,,B08W5FLRXG,61,0,0,0,,,61,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
TA-Milia-Remover-Kit,TreeActiv,C,47,,47,10/04/24,Units,0,0,0,0,0,,B0C1TH3LP2,47,0,0,0,,,47,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
TA-Crepe-Skin-Repair-Kit,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0B9BXCC3C,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
TA-Back-Body-Acne-Kit,TreeActiv,B,0,,0,10/04/24,Units,0,0,0,0,0,,B0B971H9J6,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
TA-MiliaSpot-ToolKit-Patches-BDL,TreeActiv,A,41,,42,10/04/24,Units,0,0,0,0,1,,B0CHK4JF89,41,500,500,0,,,42,10/04/24,,2.38%,,,,,TreeActiv Bundles and Kits
BUNDLE-TA-Body-Acne-Treatment-Kit,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B09B2NK4W7,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BUNDLE-TA-Blackhead,TreeActiv,C,206,,206,10/04/24,Units,0,0,0,0,0,,B09CNS2L98,206,0,0,0,,,206,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BUNDLE-TA-Milia,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B09CDRNWHR,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BUNDLE-TA-Day-Night-Spot-Treatment,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B08KWPLJKT,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BUNDLE-TA-Pimple-Tool-Kit,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B09B2L9XTT,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
TA-Milia-Patches-5pack,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BVRKQ12T,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
BDL-TA-2StepAcneKit-FCreamFWash3.4oz,TreeActiv,C,0,,0,10/04/24,Units,0,0,0,0,0,,B09B7YSBWM,0,0,0,0,,,0,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
TA-acne-milia-spot-treatment-pk2,TreeActiv,B,50,,50,10/04/24,Units,0,0,0,0,0,,B0C875HCLJ,50,0,0,0,,,50,10/04/24,,0.00%,,,,,TreeActiv Bundles and Kits
Ayadara Acne Spot Treatments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY-Warrior-One-Spot-Treatment-0.5oz,Ayadara,B,10,,12,10/04/24,Units,0,0,0,0,2,,B08KBLNPGZ,0,0,0,0,,,12,10/04/24,,16.67%,,,,,Ayadara Acne Spot Treatments
AY-Warrior-Two-Spot-Treatment-0.5oz,Ayadara,B,144,,145,10/04/24,Units,0,0,0,0,1,,B08KDG8XTZ,0,0,0,0,,,145,10/04/24,,0.69%,,,,,Ayadara Acne Spot Treatments
AY-Day-Night-Acne-Treatment-Kit,Ayadara,B,11,,11,10/04/24,Units,0,0,0,0,0,,B0B2NZBF92,11,0,0,0,,,11,10/04/24,,0.00%,,,,,Ayadara Acne Spot Treatments
AY-Cystic-Acne-Spot-Treatment-0.5oz,Ayadara,,0,,0,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,0,10/04/24,,0.00%,,,,,Ayadara Acne Spot Treatments
AY-Spot-Savior-Treatment-0.5oz,,,,,0,10/04/24,Units,,,,,,,B0DGQ2L5VM,0,,,,,,0,10/04/24,,,,,,,Ayadara Acne Spot Treatments
Ayadara Skincare Creams/Lotions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY-Crepe-Skin-Repair-Treatment-8oz,Ayadara,A,342,,343,10/04/24,Units,0,0,0,0,1,,B08JRTPCSN,342,800,800,0,,,343,10/04/24,,0.29%,,,,,Ayadara Skincare Creams/Lotions
AY-Scars-No-More-2oz,Ayadara,B,23,02-May,26,10/04/24,Units,0,0,0,0,3,,B0965WMQFM,23,0,0,0,,,26,10/04/24,,11.54%,,,,,Ayadara Skincare Creams/Lotions
AY-Breakout-Warrior-Acne-Cream-2oz,Ayadara,B,90,03-May,95,10/04/24,Units,0,0,0,0,5,,B07WWXR1DB,90,0,0,0,,,95,10/04/24,,5.26%,,,,,Ayadara Skincare Creams/Lotions
AY-Bootylicious-Butt-Acne-Lotion-8oz,Ayadara,B,1,,2,10/04/24,Units,0,0,0,0,1,,B08JY88C32,0,0,0,0,,,2,10/04/24,,50.00%,,,,,Ayadara Skincare Creams/Lotions
AY-Face-Savior-Acne-Moisturizer-2oz,Ayadara,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DGPZNL29,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Ayadara Skincare Creams/Lotions
Ayadara Skincare Sprays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY-Reverse-Warrior-Body-Spray-8oz,Ayadara,C,189,,189,10/04/24,Units,0,0,0,0,0,,B08KFGBHJX,169,0,0,0,,,189,10/04/24,,0.00%,,,,,Ayadara Skincare Sprays
AY-Acne-Body-Spray-4oz-3pack,Ayadara,B,74,,74,10/04/24,Units,0,0,0,0,0,,B0CFF17X29,74,0,0,0,,,74,10/04/24,,0.00%,,,,,Ayadara Skincare Sprays
AY-Wildflower-Goddess-Toner-4oz,Ayadara,C,20,,20,10/04/24,Units,0,0,0,0,0,,B08JY3JJ2Q,20,0,0,0,,,20,10/04/24,,0.00%,,,,,Ayadara Skincare Sprays
AY-Mystical-Mist-4oz,Ayadara,C,119,02-Apr,119,10/04/24,Units,0,0,0,0,0,,B08KSL8YHJ,0,0,0,0,,,119,10/04/24,,0.00%,,,,,Ayadara Skincare Sprays
Ayadara Skincare Cleansers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz,Ayadara,,3457,x,"3,458",10/04/24,Units,0,0,0,0,1,,B08KD89N97,3457,0,0,0,,,"3,458",10/04/24,,0.03%,,,,,Ayadara Skincare Cleansers
AY-Charcoal-To-Sparkle-Acne-Wash-8oz,Ayadara,C,1252,02-Apr,"1,257",10/04/24,Units,0,0,0,0,5,,B08KDB2KQF,1252,0,0,0,,,"1,257",10/04/24,,0.40%,,,,,Ayadara Skincare Cleansers
AY-Boho-Acne-Body-Wash-8oz,Ayadara,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0B6FY55W3,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Ayadara Skincare Cleansers
Ayadara Skincare Scrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY-Stardust-Sulfur-Scrub-8oz,Ayadara,C,8,,10,10/04/24,Units,0,0,0,0,2,,B08KDGWSC8,8,0,0,0,,,10,10/04/24,,20.00%,,,,,Ayadara Skincare Scrubs
AY-Exfoliate-Bad-Vibes-Acne-Scrub-4oz,Ayadara,C,5,,5,10/04/24,Units,0,0,0,0,0,,B08KD5W3DQ,5,0,0,0,,,5,10/04/24,,0.00%,,,,,Ayadara Skincare Scrubs
AY-Savior-Scrub-4oz,,,,,0,10/04/24,Units,,,,,,,B0DGQ4QVGB,0,,,,,,0,10/04/24,,,,,,,Ayadara Skincare Scrubs
Ayadara Aromatherapy Sprays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY-Yoga-Mat-Spray-4oz-2-Pack,Ayadara,C,21,,21,10/04/24,Units,0,0,0,0,0,,B08KFFF75L,0,0,0,0,,,21,10/04/24,,0.00%,,,,,Ayadara Aromatherapy Sprays
AY-Namaste-In-Bed-Sleep-Spray-8oz,Ayadara,C,49,,49,10/04/24,Units,0,0,0,0,0,,B08KDZ8T8Z,49,0,0,0,,,49,10/04/24,,0.00%,,,,,Ayadara Aromatherapy Sprays
AY-Clear-Sleep-Pillow-Mist-4oz,Ayadara,C,5,03-Apr,5,10/04/24,Units,0,0,0,0,0,,B08JZFFBRM,5,0,0,0,,,5,10/04/24,,0.00%,,,,,Ayadara Aromatherapy Sprays
AY-Fresh-Reset-Fabric-Spray-8oz,Ayadara,C,16,,16,10/04/24,Units,0,0,0,0,0,,B08K19R2CB,16,0,0,0,,,16,10/04/24,,0.00%,,,,,Ayadara Aromatherapy Sprays
AY-Here-Comes-The-Sun-Room-Spray-4oz,Ayadara,C,164,03-Apr,167,10/04/24,Units,0,0,0,0,3,,B08K3P65HM,164,0,0,0,,,167,10/04/24,,1.80%,,,,,Ayadara Aromatherapy Sprays
AY-Here-Comes-The-Sun-Room-Spray-8oz,Ayadara,,6,,6,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,6,10/04/24,,0.00%,,,,,Ayadara Aromatherapy Sprays
AY-Here-Comes-The-Sun-Room-Spray-16oz,Ayadara,C,3,,3,10/04/24,Units,0,0,0,0,0,,B08KWL8VQ2,0,0,0,0,,,3,10/04/24,,0.00%,,,,,Ayadara Aromatherapy Sprays
AY-Shower-Spray-Eucalyptus-8oz,Ayadara,C,46,,46,10/04/24,Units,0,0,0,0,0,,B08KF94MCT,46,0,0,0,,,46,10/04/24,,0.00%,,,,,Ayadara Aromatherapy Sprays
Ayadara Misc FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY-Hair-Skin-Nails-Vitamins,Ayadara,B,58,,58,10/04/24,Units,0,0,0,0,0,,B0B8J4DJGK,58,0,0,0,,,58,10/04/24,,0.00%,,,,,Ayadara Misc FG
OPTML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTML-Hair-Nails,OPTML,C,106,,106,10/04/24,Units,0,0,0,0,0,,B07VBLLFM7,106,0,0,0,,,106,10/04/24,,0.00%,,,,,OPTML
OPTML-Sleep,OPTML,C,0,,0,10/04/24,Units,0,0,0,0,0,,B07XP8QJF4,0,0,0,0,,,0,10/04/24,,0.00%,,,,,OPTML
OPTML-Boost,OPTML,C,166,,166,10/04/24,Units,0,0,0,0,0,,B06WVDW1PR,166,0,0,0,,,166,10/04/24,,0.00%,,,,,OPTML
StandMore Desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StandMore-Portable-Standing-Desk,StandMore,A,24,,24,10/04/24,Units,0,0,0,0,0,,B0C8T9RG6B,24,0,0,0,,,24,10/04/24,,0.00%,,,,,StandMore Desk
Samples/B2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE-Stevia-Powder-2oz,Sample,,0,,0,10/04/24,Units,0,0,0,0,0,,SMPSTPW2OZ,,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
Organic-Stevia-Powder-1kg,B2B,,1,,1,10/04/24,Units,0,0,0,0,0,,,,0,0,0,,,1,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-ALCAR-1KG,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWALCAR1KG,,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-MONK-FRUIT-1KG,B2B,,0,,0,10/04/24,Units,0,0,0,0,1,,PWMNKFR1KG,,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-L-Citrulline-Malate-20KG,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWCITMA20KG,,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-L-Citrulline-Malate-1KG,B2B,,0,,0,10/04/24,Units,0,0,0,0,1,,PWCITMA1KG,,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Black-Tea-Extract-25kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWBLKTE25KG,,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Black-Tea-Extract-10kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWBLKTE10KG,,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Beta-Alanine-Powder-1kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWBETALA1KG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Black-Tea-Powder-1kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,8,,PWBLKTEA1KG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Organic-Stevia-TSG90-1kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWSTV90TS1KG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Potassium-Sorbate-Powder-5kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWPOTAS5KG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Salicylic-Acid-Powder-1kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,1,,PWSALACD1KG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Salicylic-Acid-Powder-20kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWSALACD20KG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-STEVIA-SG95-1KG,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWSTV951KG,,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-MyoInositol-1kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWMYOINO1KG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
RM-PWD-Tea-MatchGreen-1kg,B2B,,0,,0,10/04/24,Units,0,0,0,0,0,,PWMCHAGRN1KG,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Samples/B2B
Promo Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA-Cystic-Spot-Acne-Treatment-2%-Salicylic-Acid,TreeActiv,,0,,,,Units,0,0,0,0,0,,,,0,0,0,,,,,,0.00%,,,,,Promo Samples
TA-Acne-Eliminating-Body-Lotion,TreeActiv,,0,,,,Units,0,0,0,0,0,,,,0,0,0,,,,,,0.00%,,,,,Promo Samples
TA-Acne-Eliminating-Face-Cream,TreeActiv,,0,,,,Units,0,0,0,0,0,,,,0,0,0,,,,,,0.00%,,,,,Promo Samples
TA-Invisible-Acne-Spot-Treatment,TreeActiv,,0,,,,Units,0,0,0,0,0,,,,0,0,0,,,,,,0.00%,,,,,Promo Samples
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,